Zona,Especie,2016,2017,2018,2019,2020,2021,2022
CBR Inside,Ateles geoffroyi,0.541,0,0,0,0.052,0,0.143
CBR Outside,Ateles geoffroyi,0,0,0,0,0.052,0,0
CBR Inside,Canis latrans,0,0,0,0.093,0,0,0
CBR Outside,Canis latrans,0,0,0,0,0,0,0
CBR Inside,Conepatus semistriatus,0,0,0,0,0,0.369,0.428
CBR Outside,Conepatus semistriatus,0,0,0,0,0,0,0
CBR Inside,Cuniculus paca,4.595,1.153,0,1.067,2.345,2.733,0.856
CBR Outside,Cuniculus paca,0,0.288,0,0,0.052,1.773,5.706
CBR Inside,Dasyprocta punctata,50.405,17.579,5.224,20.464,15.737,5.687,13.124
CBR Outside,Dasyprocta punctata,3.108,6.628,0.746,3.063,0.521,1.699,5.849
CBR Inside,Dasypus novemcinctus,0,0.865,0,0.046,0.156,0.074,0.571
CBR Outside,Dasypus novemcinctus,0,0,0,0.046,0,0.665,0.143
CBR Inside,Didelphis marsupialis,2.568,9.222,0,1.253,5.315,10.044,17.118
CBR Outside,Didelphis marsupialis,0,0,0,0.093,1.928,4.062,16.69
CBR Inside,Eira barbara,1.757,0.865,1.493,0.557,0.73,1.034,0.999
CBR Outside,Eira barbara,0.405,0,0,0.046,0.313,0.443,0.713
CBR Inside,Herpailurus yagouaroundi,0,0,0,0,0,0.222,0.571
CBR Outside,Herpailurus yagouaroundi,0,0,0,0,0,0,2.282
CBR Inside,Leopardus pardalis,5.27,4.323,2.985,9.606,4.013,2.88,6.419
CBR Outside,Leopardus pardalis,0.946,0.576,0,1.717,0.365,1.699,4.708
CBR Inside,Leopardus wiedii,0,0,0,0.371,0.313,0.148,0.713
CBR Outside,Leopardus wiedii,0.135,0,0,0.046,0,0.222,0.143
CBR Inside,Mazama pandora,17.297,1.153,44.776,14.292,2.606,3.619,0.143
CBR Outside,Mazama pandora,0.676,2.017,0,1.253,0.104,0.222,2.14
CBR Inside,Mazama temama,0,0,0,0.046,0.208,0.665,1.427
CBR Outside,Mazama temama,0,0,0,0,0,0,0.713
CBR Inside,Mustela frenata,0,0,0,0,0.052,0.074,0
CBR Outside,Mustela frenata,0,0,0,0,0,0,0
CBR Inside,Nasua narica,10.405,4.899,0.746,23.527,9.328,5.391,21.255
CBR Outside,Nasua narica,1.486,0,0,1.114,1.094,2.511,8.845
CBR Inside,Odocoileus virginianus,14.865,22.767,10.448,36.473,8.286,3.471,9.558
CBR Outside,Odocoileus virginianus,0.676,0.576,4.478,0.65,0.313,4.653,7.275
CBR Inside,Panthera onca,1.081,3.746,2.239,6.45,2.762,5.761,7.846
CBR Outside,Panthera onca,0.405,2.305,0,0.464,0.208,1.329,1.427
CBR Inside,Pecari tajacu,9.595,11.239,8.955,7.332,4.169,1.551,3.281
CBR Outside,Pecari tajacu,0.676,1.153,0,1.439,0.417,2.806,3.852
CBR Inside,Philander opossum,0,0,0,0.371,0,0.369,0.285
CBR Outside,Philander opossum,0,0,0,0,0,0.443,0
CBR Inside,Procyon lotor,1.216,0,0,0.046,0.261,0.295,2.14
CBR Outside,Procyon lotor,0,0,0,0,0,0.295,0.999
CBR Inside,Puma concolor,4.054,3.458,5.224,8.399,3.596,3.102,3.994
CBR Outside,Puma concolor,0.405,1.153,0.746,1.16,0.521,1.773,3.281
CBR Inside,Sciurus deppei,1.081,0,0,0.278,1.355,0.222,0
CBR Outside,Sciurus deppei,0,0.288,0,0,0,0.443,0.285
CBR Inside,Sciurus yucatanensis,0,0,0,0.046,0.156,0.443,0.571
CBR Outside,Sciurus yucatanensis,0,0,0,0,0,0,0.428
CBR Inside,Spilogale yucatanensis,0,0,0,0.1856,0.0521,0.3693,0.7133
CBR Outside,Spilogale yucatanensis,0,0,0,0,0,0,0
CBR Inside,Tamandua mexicana,0.405,0,0,0.046,0.104,0.074,0
CBR Outside,Tamandua mexicana,0,0,0,0,0,0.074,0
CBR Inside,Tapirus bairdii,1.081,0.865,3.731,15.916,8.755,1.034,6.705
CBR Outside,Tapirus bairdii,1.081,0,2.239,1.299,0.052,6.499,14.265
CBR Inside,Tayassu pecari,0,3.17,0,0.046,0.573,0.222,0.571
CBR Outside,Tayassu pecari,0,0,0,0,0,0,0.856
CBR Inside,Urocyon cinereoargenteus,5,7.493,8.209,21.671,4.846,11.004,21.398
CBR Outside,Urocyon cinereoargenteus,2.027,1.729,1.493,1.16,0.052,2.29,7.561
