2016,2017,2018,2019,2020,2021,2022
4,0,0,0,1,0,1
0,0,0,2,0,0,0
0,0,0,0,0,5,3
34,4,0,23,45,37,6
373,61,7,441,302,77,92
0,3,0,1,3,1,4
19,32,0,27,102,136,120
13,3,2,12,14,14,7
0,0,0,0,0,3,4
39,15,4,207,77,39,45
0,0,0,8,6,2,5
128,4,60,308,50,49,1
0,0,0,1,4,9,10
0,0,0,0,1,1,0
77,17,1,507,179,73,149
110,79,14,786,159,47,67
8,13,3,139,53,78,55
71,39,12,158,80,21,23
0,0,0,8,0,5,2
9,0,0,1,5,4,15
30,12,7,181,69,42,28
8,0,0,6,26,3,0
0,0,0,1,3,6,4
0,0,0,4,1,5,5
3,0,0,1,2,1,0
8,3,5,343,168,14,47
0,11,0,1,11,3,4
37,26,11,467,93,149,150
