2016,2017,2018,2019,2020,2021,2022
4,0,0,0,1,0,1
0,0,0,2,0,0,0
0,0,0,0,0,5,3
34,4,0,23,45,37,6
373,61,7,441,302,77,92
0,3,0,1,3,1,4
19,32,0,27,102,136,120
13,3,2,12,14,14,7
0,0,0,0,0,3,4
39,15,4,207,77,39,45
0,0,0,8,6,2,5
128,4,60,308,50,49,1
0,0,0,1,4,9,10
0,0,0,0,1,1,0
77,17,1,507,179,73,149
110,79,14,786,159,47,67
8,13,3,139,53,78,55
71,39,12,158,80,21,23
0,0,0,8,0,5,2
9,0,0,1,5,4,15
30,12,7,181,69,42,28
8,0,0,6,26,3,0
0,0,0,1,3,6,4
0,0,0,4,1,5,5
3,0,0,1,2,1,0
8,3,5,343,168,14,47
0,11,0,1,11,3,4
37,26,11,467,93,149,150
2016,2017,2018,2019,2020,2021,2022
0,0,0,0,1,0,0
0,1,0,0,1,24,40
23,23,1,66,10,23,41
0,0,0,1,0,9,1
0,0,0,2,37,55,117
3,0,0,1,6,6,5
0,0,0,0,0,0,16
7,2,0,37,7,23,33
1,0,0,1,0,3,1
5,7,0,27,2,3,15
0,0,0,0,0,0,5
11,0,0,24,21,34,62
5,2,6,14,6,63,51
3,8,0,10,4,18,10
5,4,0,31,8,38,27
0,0,0,0,0,6,0
0,0,0,0,0,4,7
3,4,1,25,10,24,23
0,1,0,0,0,6,2
0,0,0,0,0,0,3
0,0,0,0,0,1,0
8,0,3,28,1,88,100
0,0,0,0,0,0,6
15,6,2,25,1,31,53
